iter	RMSE
0	9.801758383
1	9.510000155
2	9.260236888
3	8.980800072
4	8.750591879
5	8.493866328
6	8.283568465
7	8.075544616
8	7.835570071
9	7.63993549
10	7.445996207
11	7.229293914
12	7.054626039
13	6.872205223
14	6.678237795
15	6.504270521
16	6.319566238
17	6.139871937
18	5.978811492
19	5.829990335
20	5.680206518
21	5.534402816
22	5.378678857
23	5.224247625
24	5.09990329
25	4.95907673
26	4.82328979
27	4.712037567
28	4.585605607
29	4.469892681
30	4.344466191
31	4.261709567
32	4.14952018
33	4.053009812
34	3.944576881
35	3.845744607
36	3.755795445
37	3.665067506
38	3.572934832
39	3.482162213
40	3.403465716
41	3.314829624
42	3.243971811
43	3.166178167
44	3.086148808
45	3.014513401
46	2.938541721
47	2.872695165
48	2.812490975
49	2.738824452
50	2.668944241
51	2.606231206
52	2.555522807
53	2.49620672
54	2.434990211
55	2.376826484
56	2.325104315
57	2.273534917
58	2.226172989
59	2.176596322
60	2.138353672
61	2.092395668
62	2.041324072
63	2.001507663
64	1.961913637
65	1.918668407
66	1.878083183
67	1.836983091
68	1.800899734
69	1.764350282
70	1.724857626
71	1.700677588
72	1.661337131
73	1.622782444
74	1.595760671
75	1.568530946
76	1.537796671
77	1.509066493
78	1.482250049
79	1.459130123
80	1.429211995
81	1.39812323
82	1.388506584
83	1.362608158
84	1.344768342
85	1.318591924
86	1.300733136
87	1.276311969
88	1.249771061
89	1.224237089
90	1.213965167
91	1.189959391
92	1.168096244
93	1.146874353
94	1.124042414
95	1.11896673
96	1.10849041
97	1.09102157
98	1.072672917
99	1.054181183
100	1.036122403
101	1.016251189
102	0.9986188446
103	0.9816300084
104	0.9672064714
105	0.9527583397
106	0.9386554988
107	0.9246506392
108	0.9160035697
109	0.8991770883
110	0.8850396494
111	0.871371921
112	0.8634325563
113	0.8526573434
114	0.8433338258
115	0.8361446139
116	0.8235399153
117	0.8095687623
118	0.7948556498
119	0.7869119305
120	0.7835855229
121	0.7720265761
122	0.7601258435
123	0.7507547076
124	0.7426137725
125	0.7315969686
126	0.7251914841
127	0.7167485447
128	0.7065785575
129	0.6976945838
130	0.690490619
131	0.681212341
132	0.6740225625
133	0.6673415613
134	0.6646999179
135	0.6561998754
136	0.6482592573
137	0.6419310062
138	0.6375135825
139	0.6318213677
140	0.6255594048
141	0.6232425166
142	0.6166258041
143	0.6109317075
144	0.6076656201
145	0.6038034685
146	0.5995148424
147	0.5950519962
148	0.588942351
149	0.5829943942
150	0.5781990555
151	0.5725564491
152	0.5673685092
153	0.5639501432
154	0.5599337684
155	0.5551214653
156	0.5504725238
157	0.5455014055
158	0.5404298101
159	0.537264459
160	0.5348076259
161	0.5319361574
162	0.5290612733
163	0.5268047178
164	0.5240343602
165	0.5202422789
166	0.5165638843
167	0.5139746275
168	0.5105541527
169	0.5070381036
170	0.5040275284
171	0.5010334496
172	0.4981279494
173	0.4956787424
174	0.4923205387
175	0.489783185
176	0.4872783191
177	0.4850921047
178	0.4829365808
179	0.4806646958
180	0.4781408089
181	0.4759669863
182	0.4731918343
183	0.4709011908
184	0.4692501862
185	0.4672514056
186	0.4648401669
187	0.4628316627
188	0.4606976543
189	0.4589121231
190	0.4575337497
191	0.4551139463
192	0.4529667626
193	0.4508329464
194	0.4493122408
195	0.4473322505
196	0.4452601781
197	0.4434854236
198	0.4406001364
199	0.4388420397
200	0.4372311265
201	0.4356882574
202	0.4338123597
203	0.4314844268
204	0.4302024967
205	0.4286481118
206	0.4269113016
207	0.4245099166
208	0.4233546853
209	0.4212857654
210	0.4184434819
211	0.4170421073
212	0.4154757395
213	0.4138162582
214	0.4125249112
215	0.4112546224
216	0.4097082563
217	0.4071423894
218	0.4055668634
219	0.4036559323
220	0.4024592901
221	0.4012904397
222	0.4004854927
223	0.3993129434
224	0.3980780439
225	0.3964253134
226	0.39478798
227	0.393500896
228	0.3922066412
229	0.3906954526
230	0.3891523866
231	0.3881642611
232	0.3871159308
233	0.3861311474
234	0.3851994753
235	0.3842009711
236	0.3832097634
237	0.3817487496
238	0.3803887623
239	0.3789542555
240	0.378067833
241	0.376991751
242	0.3757441711
243	0.3748515704
244	0.3734920474
245	0.372261291
246	0.3701571463
247	0.3691143341
248	0.3682800251
249	0.3672469533
