iter	Passed	Remaining
0	0	640
1	1	692
2	2	671
3	2	715
4	3	663
5	4	694
6	4	674
7	5	692
8	6	708
9	7	727
10	8	735
11	8	712
12	9	697
13	9	691
14	10	674
15	10	671
16	11	661
17	11	653
18	12	643
19	13	641
20	13	635
21	14	635
22	14	633
23	15	627
24	16	625
25	16	624
26	17	624
27	17	619
28	18	618
29	19	617
30	19	616
31	20	606
32	20	606
33	21	607
34	22	611
35	22	608
36	23	606
37	23	605
38	24	606
39	25	603
40	25	603
41	26	603
42	27	603
43	27	602
44	28	601
45	28	601
46	29	601
47	30	598
48	30	597
49	31	596
50	32	595
51	32	595
52	33	592
53	33	592
54	34	592
55	35	592
56	35	591
57	36	591
58	36	589
59	37	588
60	38	588
61	38	586
62	39	586
63	40	586
64	40	584
65	41	584
66	41	584
67	42	584
68	43	584
69	43	584
70	44	584
71	45	582
72	45	581
73	46	581
74	47	581
75	47	580
76	48	580
77	49	580
78	49	579
79	50	579
80	51	579
81	51	578
82	52	575
83	52	574
84	53	573
85	53	572
86	54	571
87	55	571
88	55	571
89	56	570
90	56	568
91	57	567
92	58	567
93	58	566
94	59	566
95	59	563
96	60	561
97	60	560
98	61	560
99	62	559
100	62	559
101	63	558
102	64	557
103	64	557
104	65	556
105	65	556
106	66	556
107	67	560
108	68	562
109	69	563
110	70	565
111	71	567
112	72	567
113	73	569
114	74	571
115	74	570
116	75	569
117	76	568
118	76	567
119	77	566
120	77	563
121	78	562
122	78	562
123	79	561
124	80	560
125	80	560
126	81	560
127	82	559
128	82	559
129	83	559
130	84	559
131	85	559
132	85	559
133	86	559
134	86	557
135	87	556
136	88	556
137	89	556
138	89	555
139	90	555
140	91	555
141	91	554
142	92	553
143	93	553
144	93	552
145	94	552
146	95	553
147	96	553
148	96	552
149	97	552
150	98	552
151	98	551
152	99	550
153	100	549
154	100	549
155	101	548
156	101	547
157	102	546
158	103	548
159	104	548
160	105	549
161	106	550
162	107	550
163	107	549
164	108	548
165	109	548
166	109	547
167	110	546
168	111	545
169	111	545
170	112	544
171	112	543
172	113	542
173	114	541
174	114	540
175	115	540
176	116	539
177	116	538
178	117	538
179	118	537
180	118	536
181	119	535
182	119	535
183	120	534
184	121	533
185	121	532
186	122	532
187	123	531
188	123	530
189	124	529
190	124	529
191	125	528
192	126	527
193	126	526
194	127	525
195	128	525
196	128	525
197	129	525
198	130	525
199	131	525
200	132	524
201	132	524
202	133	524
203	134	524
204	135	524
205	135	523
206	136	523
207	137	523
208	138	523
209	139	524
210	140	525
211	141	525
212	142	526
213	143	526
214	144	527
215	145	527
216	146	527
217	147	529
218	148	529
219	149	529
220	151	532
221	152	532
222	153	533
223	154	533
224	154	533
225	155	532
226	156	532
227	157	532
228	158	531
229	159	532
230	159	531
231	160	531
232	161	531
233	162	531
234	163	530
235	163	530
236	164	530
237	165	529
238	166	529
239	167	529
240	167	529
241	169	529
242	170	529
243	170	528
244	171	528
245	172	527
246	172	526
247	173	525
248	174	524
249	174	524
250	175	523
251	175	522
252	176	521
253	177	520
254	177	519
255	178	518
256	179	518
257	179	517
258	180	516
259	181	515
260	181	514
261	182	513
262	183	513
263	183	512
264	184	511
265	184	510
266	185	509
267	186	508
268	186	507
269	187	506
270	188	505
271	188	504
272	189	504
273	189	503
274	190	502
275	191	501
276	191	500
277	192	500
278	193	499
279	194	498
280	194	498
281	195	497
282	195	496
283	196	495
284	197	494
285	197	493
286	198	493
287	199	492
288	199	491
289	200	490
290	201	490
291	201	489
292	202	488
293	203	487
294	203	487
295	204	486
296	205	485
297	205	484
298	206	483
299	206	482
300	207	481
301	208	481
302	208	480
303	209	479
304	210	478
305	210	477
306	211	476
307	211	476
308	212	475
309	213	474
310	213	473
311	214	472
312	215	472
313	215	471
314	216	470
315	217	469
316	217	468
317	218	468
318	218	467
319	219	466
320	220	465
321	220	464
322	221	464
323	222	463
324	222	462
325	223	461
326	223	461
327	224	460
328	225	459
329	225	458
330	226	457
331	227	457
332	228	457
333	229	456
334	229	456
335	230	456
336	231	455
337	232	454
338	232	454
339	233	453
340	234	453
341	235	452
342	235	451
343	236	450
344	237	450
345	237	449
346	238	448
347	239	447
348	239	447
349	240	446
350	240	445
351	241	444
352	242	443
353	242	443
354	243	442
355	244	441
356	244	441
357	245	440
358	246	439
359	246	438
360	247	437
361	248	437
362	248	436
363	249	435
364	249	434
365	250	434
366	251	433
367	251	432
368	252	431
369	253	431
370	253	430
371	254	429
372	255	428
373	255	428
374	256	427
375	257	426
376	257	426
377	258	425
378	259	424
379	259	423
380	260	423
381	261	422
382	261	421
383	262	420
384	263	420
385	263	419
386	264	418
387	265	418
388	265	417
389	266	416
390	267	416
391	267	415
392	268	414
393	269	413
394	269	413
395	270	412
396	271	411
397	271	410
398	272	410
399	272	409
400	273	408
401	274	407
402	274	407
403	275	406
404	276	405
405	276	405
406	277	404
407	278	403
408	278	402
409	279	402
410	280	401
411	280	400
412	281	399
413	281	399
414	282	398
415	283	397
416	283	396
417	284	396
418	285	395
419	285	394
420	286	394
421	287	393
422	287	392
423	288	391
424	289	391
425	289	390
426	290	389
427	291	388
428	291	388
429	292	387
430	292	386
431	293	386
432	294	385
433	294	384
434	295	383
435	296	383
436	296	382
437	297	381
438	298	380
439	298	380
440	299	379
441	300	378
442	300	378
443	301	377
444	302	376
445	302	375
446	303	375
447	303	374
448	304	373
449	305	373
450	305	372
451	306	371
452	307	370
453	307	370
454	308	369
455	309	368
456	309	368
457	310	367
458	311	366
459	311	365
460	312	365
461	312	364
462	313	363
463	314	363
464	314	362
465	315	361
466	316	360
467	316	360
468	317	359
469	318	358
470	318	357
471	319	357
472	320	356
473	320	355
474	321	355
475	321	354
476	322	353
477	323	353
478	323	352
479	324	351
480	325	350
481	325	350
482	326	349
483	327	348
484	327	348
485	328	347
486	329	346
487	329	345
488	330	345
489	331	344
490	331	343
491	332	343
492	332	342
493	333	341
494	334	341
495	334	340
496	335	339
497	336	338
498	336	338
499	337	337
500	338	336
501	338	336
502	339	335
503	339	334
504	340	333
505	341	333
506	342	332
507	343	332
508	344	331
509	344	331
510	345	330
511	346	330
512	347	330
513	348	329
514	349	328
515	350	328
516	352	329
517	353	329
518	354	328
519	355	328
520	356	327
521	357	326
522	357	326
523	358	325
524	359	325
525	360	324
526	360	323
527	361	323
528	362	322
529	362	321
530	363	321
531	364	320
532	364	319
533	365	318
534	366	318
535	366	317
536	367	316
537	367	315
538	368	315
539	369	314
540	370	314
541	370	313
542	371	312
543	372	311
544	372	311
545	373	310
546	373	309
547	374	308
548	375	308
549	375	307
550	376	306
551	377	306
552	377	305
553	378	304
554	378	303
555	379	303
556	380	302
557	380	301
558	381	300
559	382	300
560	382	299
561	383	298
562	384	298
563	384	297
564	385	296
565	386	296
566	386	295
567	387	294
568	388	293
569	388	293
570	389	292
571	389	291
572	390	291
573	391	290
574	391	289
575	392	288
576	393	288
577	393	287
